project,checkstyle,RAW
elastic/elasticsearch,https://github.com/elastic/elasticsearch/blob/master/build-tools-internal/src/main/resources/checkstyle.xml,https://raw.githubusercontent.com/elastic/elasticsearch/master/build-tools-internal/src/main/resources/checkstyle.xml
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava/blob/3.x/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/ReactiveX/RxJava/3.x/config/checkstyle/checkstyle.xml
apache/dubbo,https://github.com/apache/dubbo/blob/master/codestyle/checkstyle.xml,https://raw.githubusercontent.com/apache/dubbo/master/codestyle/checkstyle.xml
zxing/zxing,https://github.com/zxing/zxing/blob/master/src/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/zxing/zxing/master/src/checkstyle/checkstyle.xml
skylot/jadx,https://github.com/skylot/jadx/blob/master/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/skylot/jadx/master/config/checkstyle/checkstyle.xml
eugenp/tutorials,https://github.com/eugenp/tutorials/blob/master/testing-modules/testing-libraries/checkstyle.xml,https://raw.githubusercontent.com/eugenp/tutorials/master/testing-modules/testing-libraries/checkstyle.xml
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife/blob/master/checkstyle.xml,https://raw.githubusercontent.com/JakeWharton/butterknife/master/checkstyle.xml
Netflix/Hystrix,https://github.com/Netflix/Hystrix/blob/master/codequality/checkstyle.xml,https://raw.githubusercontent.com/Netflix/Hystrix/master/codequality/checkstyle.xml
seata/seata,https://github.com/seata/seata/blob/develop/style/seata_checkstyle.xml,https://raw.githubusercontent.com/seata/seata/develop/style/seata_checkstyle.xml
halo-dev/halo,https://github.com/halo-dev/halo/blob/master/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/halo-dev/halo/master/config/checkstyle/checkstyle.xml
apache/kafka,https://github.com/apache/kafka/blob/trunk/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/apache/kafka/trunk/checkstyle/checkstyle.xml
square/picasso,https://github.com/square/picasso/blob/master/checkstyle.xml,https://raw.githubusercontent.com/square/picasso/master/checkstyle.xml
alibaba/nacos,https://github.com/alibaba/nacos/blob/develop/style/NacosCheckStyle.xml,https://raw.githubusercontent.com/alibaba/nacos/develop/style/NacosCheckStyle.xml
apache/skywalking,https://github.com/apache/skywalking/blob/master/apm-checkstyle/checkStyle.xml,https://raw.githubusercontent.com/apache/skywalking/master/apm-checkstyle/checkStyle.xml
redisson/redisson,https://github.com/redisson/redisson/blob/master/checkstyle.xml,https://raw.githubusercontent.com/redisson/redisson/master/checkstyle.xml
apache/flink,https://github.com/apache/flink/blob/master/tools/maven/checkstyle.xml,https://raw.githubusercontent.com/apache/flink/master/tools/maven/checkstyle.xml
Tencent/tinker,https://github.com/Tencent/tinker/blob/dev/checkstyle.xml,https://raw.githubusercontent.com/Tencent/tinker/dev/checkstyle.xml
oracle/graal,https://github.com/oracle/graal/blob/master/sdk/src/org.graalvm.word/.checkstyle_checks.xml,https://raw.githubusercontent.com/oracle/graal/master/sdk/src/org.graalvm.word/.checkstyle_checks.xml
apache/rocketmq,https://github.com/apache/rocketmq/blob/master/style/rmq_checkstyle.xml,https://raw.githubusercontent.com/apache/rocketmq/master/style/rmq_checkstyle.xml
apache/shardingsphere,https://github.com/apache/shardingsphere/blob/master/src/resources/checkstyle.xml,https://raw.githubusercontent.com/apache/shardingsphere/master/src/resources/checkstyle.xml
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe/blob/dev/checkstyle.xml,https://raw.githubusercontent.com/TeamNewPipe/NewPipe/dev/checkstyle.xml
orhanobut/logger,https://github.com/orhanobut/logger/blob/master/checkstyle.xml,https://raw.githubusercontent.com/orhanobut/logger/master/checkstyle.xml
prestodb/presto,https://github.com/prestodb/presto/blob/master/src/checkstyle/presto-checks.xml,https://raw.githubusercontent.com/prestodb/presto/master/src/checkstyle/presto-checks.xml
zhihu/Matisse,https://github.com/zhihu/Matisse/blob/master/checkstyle.xml,https://raw.githubusercontent.com/zhihu/Matisse/master/checkstyle.xml
apache/hadoop,https://github.com/apache/hadoop/blob/trunk/hadoop-build-tools/src/main/resources/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/apache/hadoop/trunk/hadoop-build-tools/src/main/resources/checkstyle/checkstyle.xml
pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint/blob/master/checkstyle-UTF8(ver0.6).xml,https://raw.githubusercontent.com/pinpoint-apm/pinpoint/master/checkstyle-UTF8(ver0.6).xml
Tencent/VasSonic,https://github.com/Tencent/VasSonic/blob/master/checkstyle.xml,https://raw.githubusercontent.com/Tencent/VasSonic/master/checkstyle.xml
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations/blob/develop/AndroidAnnotations/checkstyle-checks.xml,https://raw.githubusercontent.com/androidannotations/androidannotations/develop/AndroidAnnotations/checkstyle-checks.xml
realm/realm-java,https://github.com/realm/realm-java/blob/master/realm/config/checkstyle/checkstyle.xml,https://raw.githubusercontent.com/realm/realm-java/master/realm/config/checkstyle/checkstyle.xml
Netflix/zuul,https://github.com/Netflix/zuul/blob/master/codequality/checkstyle.xml,https://raw.githubusercontent.com/Netflix/zuul/master/codequality/checkstyle.xml
apache/druid,https://github.com/apache/druid/blob/master/codestyle/checkstyle.xml,https://raw.githubusercontent.com/apache/druid/master/codestyle/checkstyle.xml
Netflix/eureka,https://github.com/Netflix/eureka/blob/master/codequality/checkstyle.xml,https://raw.githubusercontent.com/Netflix/eureka/master/codequality/checkstyle.xml
JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator/blob/master/checkstyle.xml,https://raw.githubusercontent.com/JakeWharton/ViewPagerIndicator/master/checkstyle.xml
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader/blob/master/checkstyle.xml,https://raw.githubusercontent.com/lingochamp/FileDownloader/master/checkstyle.xml
liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh/blob/master/ptr-lib/checkstyle.xml,https://raw.githubusercontent.com/liaohuqiu/android-Ultra-Pull-To-Refresh/master/ptr-lib/checkstyle.xml
